,epochs,gamma,lr,f1-0,f1-1,acc
0,10.0,0.0,1e-05,0.9437229437229437,0.5714285714285715,0.9005102040816326
1,10.0,0.0,0.0001,0.9966887417218543,0.989010989010989,0.9949109414758269
2,10.0,0.0,0.001,0.9984591679506933,0.9927007299270074,0.9974554707379135
3,10.0,0.5,1e-05,0.9396170839469808,0.616822429906542,0.8956743002544529
4,10.0,0.5,0.0001,0.9967320261437909,0.9883720930232558,0.9948979591836735
5,10.0,0.5,0.001,1.0,1.0,1.0
6,10.0,2.0,1e-05,0.9584569732937686,0.7454545454545455,0.9285714285714286
7,10.0,2.0,0.0001,0.9968051118210862,0.9875,0.9949109414758269
8,10.0,2.0,0.001,1.0,1.0,1.0
9,25.0,0.0,1e-05,0.986046511627907,0.9361702127659575,0.9770992366412213
10,25.0,0.0,0.0001,0.9984251968503937,0.9933774834437086,0.9974554707379135
11,25.0,0.0,0.001,1.0,1.0,1.0
12,25.0,0.5,1e-05,0.9845201238390092,0.9285714285714286,0.9745547073791349
13,25.0,0.5,0.0001,1.0,1.0,1.0
14,25.0,0.5,0.001,0.996969696969697,0.9841269841269841,0.9949109414758269
15,25.0,2.0,1e-05,0.9858712715855572,0.9395973154362416,0.9770992366412213
16,25.0,2.0,0.0001,1.0,1.0,1.0
17,25.0,2.0,0.001,1.0,1.0,1.0
18,35.0,0.0,1e-05,0.9953051643192489,0.9795918367346939,0.9923664122137404
19,35.0,0.0,0.0001,0.9983739837398374,0.9941520467836257,0.9974554707379135
20,35.0,0.0,0.001,1.0,1.0,1.0
21,35.0,0.5,1e-05,0.9919743178170145,0.9689440993788819,0.9872448979591837
22,35.0,0.5,0.0001,0.9967320261437909,0.9885057471264368,0.9949109414758269
23,35.0,0.5,0.001,1.0,1.0,1.0
24,35.0,2.0,1e-05,0.989409984871407,0.9430894308943091,0.9821428571428571
25,35.0,2.0,0.0001,1.0,1.0,1.0
26,35.0,2.0,0.001,1.0,1.0,1.0
