,epochs,gamma,lr,f1-0,f1-1,acc
0,10.0,0.0,0.0001,0.998473282442748,0.9923664122137404,0.9974554707379135
1,10.0,0.5,0.0001,0.9984101748807631,0.9936305732484078,0.9974554707379135
2,10.0,2.0,0.0001,0.9984825493171471,0.9921259842519685,0.9974554707379135
3,10.0,3.0,0.0001,0.9984447900466563,0.993006993006993,0.9974554707379135
4,25.0,0.0,0.0001,1.0,1.0,1.0
5,25.0,0.5,0.0001,1.0,1.0,1.0
6,25.0,2.0,0.0001,0.9984152139461173,0.9935483870967742,0.9974554707379135
7,25.0,3.0,0.0001,1.0,1.0,1.0
8,35.0,0.0,0.0001,0.9984202211690364,0.9934640522875817,0.9974554707379135
9,35.0,0.5,0.0001,1.0,1.0,1.0
10,35.0,2.0,0.0001,0.9984301412872841,0.9932885906040269,0.9974554707379135
11,35.0,3.0,0.0001,1.0,1.0,1.0
